team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
COL,2023,COL,COL,Team Level,other,62,0.54,0.49,0.49,8070.0,111.87,30.79,7.13,18.73,3.64,58.28,40.41,29.24,30.79,29.24,105.0,54.0,48.0,207.0,30.0,4.0,0.0,22.0,0.0,52.0,51.0,75.0,129.0,7.0,17.0,102.0,12.0,18.0,17.0,81.0,31.0,47.0,3.3,4.02,23.48,6.0,2.0,22.0,207.0,159.0,159.0,8.0,2.22,1.03,1.03,31.98,31.98,30.34,120.85,26.52,9.47,22.39,4.27,63.16,37.18,24.81,26.52,24.81,119.0,44.0,53.0,216.0,26.0,19.0,3.0,18.0,1.0,60.0,39.0,93.0,137.0,7.0,14.0,123.0,16.0,18.0,18.0,77.0,43.0,43.0,2.4,5.53,18.6,5.0,5.0,16.0,216.0,163.0,163.0,8.0,2.7,4.84,4.84,24.39,24.39,23.3
COL,2023,COL,COL,Team Level,all,62,0.52,0.52,0.52,225246.0,2047.68,218.29,141.54,480.96,67.54,1106.36,804.32,206.19,219.65,207.54,1979.0,840.0,1107.0,3926.0,225.0,175.0,27.0,411.0,5.0,1014.0,989.0,1754.0,2594.0,225.0,480.0,1717.0,1248.0,473.0,472.0,1997.0,586.0,236.0,58.22,71.94,88.12,75.0,80.0,70.0,3969.55,2819.0,2843.84,230.0,31.79,42.38,42.38,207.69,209.14,202.34,1932.71,201.53,135.24,455.16,63.71,1019.13,740.3,188.37,201.15,187.9,1831.0,785.0,1011.0,3627.0,193.0,205.0,25.0,348.0,9.0,898.0,963.0,1638.0,2423.0,243.0,521.0,1874.0,1217.0,455.0,378.0,1884.0,482.0,250.0,52.42,61.11,88.0,57.0,68.0,68.0,3609.17,2616.0,2605.4,199.0,30.41,47.23,47.23,184.64,184.09,178.46
COL,2023,COL,COL,Team Level,5on5,62,0.52,0.52,0.52,178434.0,1546.25,134.75,100.78,386.35,51.7,830.74,621.68,129.93,136.12,131.29,1487.0,639.0,904.0,3030.0,139.0,132.0,17.0,322.0,4.0,771.0,758.0,1348.0,1987.0,199.0,422.0,1297.0,1162.0,386.0,383.0,1562.0,437.0,127.0,45.44,53.62,35.69,59.0,61.0,19.0,3073.55,2126.0,2150.84,198.0,20.95,27.79,27.8,127.9,129.35,127.18,1471.4,125.7,96.26,364.09,48.29,782.38,583.36,120.29,125.32,119.82,1375.0,626.0,820.0,2821.0,124.0,138.0,19.0,277.0,6.0,690.0,766.0,1251.0,1877.0,206.0,447.0,1407.0,1149.0,378.0,327.0,1516.0,352.0,133.0,41.87,44.94,38.89,50.0,48.0,26.0,2803.17,2001.0,1990.4,180.0,20.05,30.69,30.95,114.74,114.18,112.02
COL,2023,COL,COL,Team Level,4on5,62,0.12,0.14,0.16,18702.0,53.76,5.7,2.9,7.59,1.59,16.86,37.36,5.62,5.7,5.62,56.0,16.0,10.0,82.0,6.0,5.0,0.0,5.0,0.0,8.0,48.0,50.0,66.0,8.0,19.0,131.0,56.0,55.0,20.0,49.0,16.0,7.0,1.69,1.89,2.11,1.0,3.0,2.0,82.0,72.0,72.0,18.0,0.66,0.86,0.86,5.5,5.5,5.49,277.25,41.01,25.99,60.02,8.92,155.15,80.92,35.36,41.01,35.36,270.0,102.0,130.0,502.0,37.0,40.0,3.0,48.0,1.0,137.0,109.0,233.0,335.0,20.0,40.0,191.0,9.0,11.0,21.0,244.0,70.0,58.0,6.85,8.37,25.78,2.0,13.0,22.0,502.0,372.0,372.0,2.0,6.86,9.73,9.48,38.38,38.38,36.13
COL,2023,COL,COL,Team Level,5on4,62,0.85,0.87,0.85,20040.0,335.81,47.04,30.73,68.3,10.59,200.47,104.87,41.39,47.04,41.39,331.0,131.0,145.0,607.0,50.0,34.0,10.0,62.0,1.0,183.0,132.0,281.0,412.0,11.0,22.0,187.0,18.0,14.0,52.0,305.0,102.0,55.0,7.78,12.42,26.84,9.0,14.0,27.0,607.0,462.0,462.0,6.0,7.95,12.69,12.68,42.3,42.3,39.32,63.22,8.29,3.51,8.67,2.24,18.44,38.84,7.9,8.29,7.9,67.0,13.0,8.0,88.0,6.0,8.0,0.0,5.0,1.0,11.0,49.0,61.0,74.0,10.0,20.0,153.0,43.0,48.0,12.0,47.0,17.0,16.0,1.29,2.27,4.73,0.0,2.0,4.0,88.0,80.0,80.0,9.0,0.81,1.97,1.97,7.13,7.13,7.01
WPG,2023,WPG,WPG,Team Level,other,60,0.53,0.39,0.44,6612.0,83.06,26.92,5.16,14.02,2.71,39.51,26.66,26.13,26.92,26.13,83.0,32.0,30.0,145.0,29.0,6.0,3.0,9.0,1.0,32.0,38.0,54.0,86.0,1.0,2.0,68.0,29.0,18.0,16.0,50.0,28.0,37.0,2.32,3.48,21.12,3.0,4.0,22.0,145.0,115.0,115.0,13.0,1.51,1.98,1.98,26.45,26.45,25.9,107.92,24.13,8.77,20.19,3.93,60.65,29.33,21.01,24.13,21.01,105.0,42.0,77.0,224.0,19.0,15.0,2.0,17.0,1.0,55.0,40.0,86.0,128.0,1.0,2.0,67.0,28.0,11.0,15.0,78.0,27.0,42.0,2.79,3.58,17.75,5.0,1.0,13.0,224.0,147.0,147.0,8.0,2.57,5.25,5.25,21.45,21.45,19.86
WPG,2023,WPG,WPG,Team Level,all,60,0.5,0.51,0.51,217675.0,1903.47,181.29,127.07,458.44,64.27,1042.48,780.46,174.81,182.84,176.31,1852.0,802.0,1006.0,3660.0,187.0,185.0,26.0,415.0,8.0,898.0,961.0,1665.0,2467.0,204.0,473.0,1564.0,1306.0,392.0,416.0,2021.0,442.0,191.0,55.03,55.68,70.58,65.0,58.0,64.0,3697.53,2654.0,2683.13,306.0,27.92,37.79,37.83,171.38,172.85,169.09,1866.9,181.6,127.96,459.66,63.47,1012.81,725.5,170.87,181.24,170.55,1769.0,802.0,997.0,3568.0,143.0,221.0,23.0,356.0,3.0,894.0,954.0,1626.0,2428.0,218.0,495.0,1777.0,1309.0,325.0,532.0,1926.0,424.0,221.0,51.69,53.42,76.5,44.0,39.0,60.0,3534.95,2571.0,2551.57,390.0,28.84,49.04,49.04,161.41,161.05,156.22
WPG,2023,WPG,WPG,Team Level,5on5,60,0.52,0.52,0.52,175683.0,1530.35,124.22,97.27,384.85,51.91,838.53,642.22,119.74,125.76,121.24,1484.0,655.0,836.0,2975.0,125.0,150.0,21.0,341.0,6.0,726.0,791.0,1359.0,2014.0,189.0,443.0,1207.0,1202.0,321.0,345.0,1664.0,353.0,122.0,45.14,44.7,34.38,59.0,42.0,24.0,3012.53,2139.0,2168.13,261.0,20.15,31.14,31.19,113.18,114.65,112.43,1438.21,116.67,91.8,370.88,48.67,776.66,580.32,110.98,116.3,110.67,1361.0,624.0,774.0,2759.0,84.0,168.0,13.0,283.0,2.0,686.0,762.0,1277.0,1901.0,202.0,465.0,1376.0,1209.0,257.0,444.0,1546.0,316.0,123.0,41.74,39.69,35.24,37.0,24.0,23.0,2725.95,1985.0,1965.57,330.0,19.08,33.83,33.83,101.91,101.55,99.57
WPG,2023,WPG,WPG,Team Level,4on5,60,0.1,0.11,0.14,16813.0,45.85,4.32,2.14,6.59,1.45,14.07,32.42,4.26,4.32,4.26,47.0,14.0,4.0,65.0,2.0,1.0,0.0,7.0,0.0,8.0,43.0,45.0,59.0,5.0,10.0,126.0,57.0,40.0,30.0,45.0,10.0,6.0,1.21,1.37,1.75,0.0,1.0,1.0,65.0,61.0,61.0,30.0,0.49,0.36,0.36,4.46,4.46,4.43,277.68,37.18,25.3,62.16,9.58,162.32,86.46,35.27,37.18,35.27,264.0,119.0,139.0,522.0,36.0,38.0,8.0,52.0,0.0,145.0,112.0,228.0,347.0,10.0,20.0,158.0,22.0,10.0,24.0,263.0,68.0,52.0,6.28,8.5,22.41,1.0,11.0,24.0,522.0,383.0,383.0,4.0,6.7,9.96,9.96,33.93,33.93,32.69
WPG,2023,WPG,WPG,Team Level,5on4,60,0.88,0.88,0.86,18567.0,244.21,25.82,22.48,52.99,8.2,150.36,79.15,24.68,25.82,24.68,238.0,101.0,136.0,475.0,31.0,28.0,2.0,58.0,1.0,132.0,89.0,207.0,308.0,9.0,18.0,163.0,18.0,13.0,25.0,262.0,51.0,26.0,6.37,6.13,13.33,3.0,11.0,17.0,475.0,339.0,339.0,2.0,5.76,4.31,4.3,27.28,27.28,26.32,43.08,3.62,2.1,6.43,1.28,13.18,29.39,3.62,3.62,3.62,39.0,17.0,7.0,63.0,4.0,0.0,0.0,4.0,0.0,8.0,40.0,35.0,52.0,5.0,8.0,176.0,50.0,47.0,49.0,39.0,13.0,4.0,0.88,1.65,1.1,1.0,3.0,0.0,63.0,56.0,56.0,48.0,0.49,0.0,0.0,4.11,4.11,4.1
