team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
MIN,2023,MIN,MIN,Team Level,other,62,0.5,0.49,0.48,8579.0,119.47,24.1,8.51,21.74,4.11,65.87,37.67,22.26,24.1,22.26,106.0,56.0,60.0,222.0,25.0,8.0,1.0,20.0,0.0,60.0,49.0,81.0,137.0,7.0,17.0,103.0,31.0,17.0,16.0,88.0,41.0,33.0,3.14,5.57,15.39,5.0,6.0,14.0,222.0,162.0,162.0,7.0,2.63,3.04,3.04,23.7,23.7,22.26,125.62,23.64,9.28,24.0,4.41,70.07,42.6,21.98,23.64,21.98,121.0,53.0,56.0,230.0,21.0,13.0,3.0,20.0,2.0,74.0,44.0,100.0,153.0,7.0,17.0,97.0,28.0,15.0,13.0,102.0,39.0,33.0,3.68,4.9,15.06,4.0,5.0,12.0,230.0,174.0,174.0,3.0,2.69,3.95,3.95,22.38,22.38,21.23
MIN,2023,MIN,MIN,Team Level,all,62,0.51,0.5,0.5,226035.0,1976.74,193.23,139.93,459.62,65.64,1088.69,771.89,181.34,193.39,181.46,1865.0,854.0,1071.0,3790.0,191.0,179.0,16.0,370.0,9.0,1026.0,944.0,1674.0,2528.0,269.0,642.0,1662.0,1294.0,380.0,404.0,2010.0,508.0,201.0,56.95,63.96,72.32,59.0,75.0,57.0,3782.99,2719.0,2717.19,183.0,31.96,35.26,35.26,189.93,189.87,181.67,1962.13,188.08,137.14,461.87,65.26,1089.43,764.23,180.22,189.08,181.22,1868.0,838.0,1073.0,3779.0,206.0,153.0,16.0,383.0,15.0,954.0,995.0,1662.0,2500.0,267.0,639.0,1880.0,1231.0,374.0,403.0,2046.0,458.0,202.0,59.24,56.81,72.03,88.0,57.0,61.0,3805.59,2706.0,2726.69,217.0,30.94,33.87,33.87,185.15,186.2,181.0
MIN,2023,MIN,MIN,Team Level,5on5,62,0.5,0.5,0.5,177018.0,1423.02,114.56,92.41,345.5,46.68,779.62,587.23,111.14,114.72,111.25,1331.0,635.0,834.0,2800.0,124.0,109.0,12.0,272.0,6.0,739.0,716.0,1207.0,1842.0,241.0,577.0,1200.0,1190.0,317.0,325.0,1507.0,367.0,92.0,43.04,46.26,25.26,47.0,58.0,19.0,2792.99,1966.0,1964.18,156.0,19.08,20.32,20.69,112.95,112.89,110.77,1434.35,112.92,92.54,355.69,47.47,789.2,581.18,109.86,113.92,110.85,1353.0,626.0,821.0,2800.0,128.0,97.0,7.0,307.0,9.0,675.0,763.0,1225.0,1851.0,228.0,550.0,1412.0,1108.0,307.0,341.0,1559.0,312.0,108.0,44.31,38.37,30.24,71.0,38.0,19.0,2826.59,1979.0,1999.69,195.0,19.15,20.66,21.22,110.84,111.9,110.13
MIN,2023,MIN,MIN,Team Level,4on5,62,0.06,0.08,0.09,19848.0,38.94,3.24,1.85,5.72,1.17,11.59,27.42,3.11,3.24,3.11,45.0,6.0,5.0,56.0,3.0,0.0,0.0,3.0,0.0,16.0,29.0,42.0,48.0,6.0,15.0,156.0,52.0,36.0,19.0,38.0,8.0,5.0,0.84,0.98,1.42,2.0,1.0,0.0,56.0,51.0,51.0,18.0,0.43,0.0,0.0,3.67,3.67,3.52,361.99,47.77,33.38,76.14,12.1,217.74,112.85,44.65,47.77,44.65,352.0,148.0,181.0,681.0,50.0,42.0,6.0,55.0,3.0,200.0,150.0,302.0,450.0,17.0,39.0,202.0,24.0,16.0,32.0,346.0,97.0,57.0,10.16,12.0,25.61,10.0,12.0,28.0,681.0,500.0,500.0,3.0,8.66,9.06,8.5,47.93,47.93,45.66
MIN,2023,MIN,MIN,Team Level,5on4,62,0.93,0.91,0.91,20590.0,395.31,51.33,37.18,86.65,13.67,231.6,119.58,44.83,51.33,44.83,383.0,157.0,172.0,712.0,39.0,62.0,3.0,75.0,3.0,211.0,150.0,344.0,501.0,15.0,33.0,203.0,21.0,10.0,44.0,377.0,92.0,71.0,9.93,11.16,30.25,5.0,10.0,24.0,712.0,540.0,540.0,2.0,9.81,11.9,11.53,49.61,49.61,45.12,40.16,3.75,1.94,6.03,1.27,12.41,27.59,3.73,3.75,3.73,42.0,11.0,15.0,68.0,7.0,1.0,0.0,1.0,1.0,5.0,38.0,35.0,46.0,15.0,33.0,169.0,71.0,36.0,17.0,39.0,10.0,4.0,1.1,1.53,1.12,3.0,2.0,2.0,68.0,53.0,53.0,16.0,0.45,0.2,0.2,4.0,4.0,3.99
SEA,2023,SEA,SEA,Team Level,other,60,0.45,0.47,0.44,7051.0,93.22,17.25,6.26,18.03,3.31,48.05,35.11,16.14,17.25,16.14,87.0,41.0,65.0,193.0,15.0,2.0,0.0,11.0,0.0,48.0,52.0,72.0,113.0,7.0,14.0,88.0,23.0,16.0,17.0,74.0,27.0,27.0,2.8,2.88,11.56,3.0,2.0,10.0,193.0,128.0,128.0,9.0,1.8,0.78,0.78,18.27,18.27,17.3,115.95,21.19,8.43,22.57,4.23,69.42,40.16,19.13,21.19,19.13,106.0,60.0,49.0,215.0,26.0,8.0,2.0,23.0,2.0,62.0,45.0,80.0,140.0,3.0,6.0,96.0,18.0,19.0,14.0,105.0,33.0,28.0,3.85,4.09,13.25,6.0,6.0,14.0,215.0,166.0,166.0,4.0,2.48,2.3,2.3,21.37,21.37,19.76
SEA,2023,SEA,SEA,Team Level,all,60,0.5,0.51,0.49,220004.0,1854.25,168.56,124.71,458.38,62.83,1023.64,733.9,161.87,169.82,163.12,1743.0,829.0,1129.0,3701.0,163.0,172.0,21.0,356.0,9.0,933.0,939.0,1580.0,2409.0,195.0,447.0,1600.0,1291.0,503.0,311.0,1969.0,416.0,187.0,55.56,51.93,61.07,72.0,43.0,48.0,3714.45,2572.0,2581.59,144.0,27.47,34.02,34.02,162.0,163.06,158.57,1883.93,167.62,127.02,463.76,64.39,1054.39,753.81,160.11,168.07,160.59,1789.0,842.0,968.0,3599.0,167.0,180.0,20.0,429.0,8.0,906.0,941.0,1622.0,2464.0,198.0,440.0,1777.0,1220.0,529.0,420.0,2017.0,433.0,181.0,53.6,52.41,61.61,54.0,58.0,55.0,3603.43,2631.0,2636.79,195.0,28.37,34.6,34.6,161.39,161.92,157.32
SEA,2023,SEA,SEA,Team Level,5on5,60,0.52,0.51,0.5,180271.0,1482.24,119.41,94.8,381.27,50.2,815.27,600.04,116.18,120.67,117.43,1402.0,659.0,912.0,2973.0,112.0,141.0,16.0,314.0,7.0,721.0,766.0,1290.0,1949.0,172.0,399.0,1244.0,1196.0,432.0,261.0,1606.0,337.0,118.0,44.88,42.67,31.86,55.0,37.0,20.0,2986.45,2061.0,2070.59,120.0,19.62,26.61,26.61,112.42,113.49,111.95,1467.18,110.51,92.61,377.88,49.93,811.83,606.25,107.15,110.96,107.62,1402.0,647.0,771.0,2820.0,104.0,139.0,13.0,352.0,5.0,698.0,751.0,1298.0,1945.0,180.0,404.0,1385.0,1142.0,445.0,357.0,1618.0,334.0,97.0,42.5,40.4,27.61,41.0,42.0,21.0,2824.43,2049.0,2054.79,182.0,19.16,24.71,24.71,104.96,105.49,103.73
SEA,2023,SEA,SEA,Team Level,4on5,60,0.08,0.09,0.11,15843.0,34.24,3.01,1.71,5.0,1.23,10.95,24.1,2.87,3.01,2.87,35.0,11.0,1.0,47.0,2.0,4.0,1.0,0.0,2.0,7.0,31.0,33.0,44.0,6.0,14.0,116.0,57.0,40.0,13.0,37.0,4.0,5.0,1.19,0.36,1.46,1.0,0.0,1.0,47.0,46.0,46.0,10.0,0.38,0.89,0.89,2.5,2.5,2.47,262.98,32.47,23.92,57.35,8.93,160.07,81.27,30.44,32.47,30.44,240.0,124.0,139.0,503.0,31.0,32.0,4.0,52.0,1.0,139.0,109.0,209.0,333.0,10.0,20.0,153.0,12.0,23.0,39.0,258.0,56.0,50.0,6.51,6.71,19.25,5.0,8.0,18.0,503.0,364.0,364.0,1.0,6.25,7.32,7.32,31.39,31.39,30.17
SEA,2023,SEA,SEA,Team Level,5on4,60,0.89,0.89,0.87,16839.0,244.55,28.89,21.93,54.08,8.09,149.37,74.64,26.68,28.89,26.68,219.0,118.0,151.0,488.0,34.0,25.0,4.0,31.0,0.0,157.0,90.0,185.0,303.0,10.0,20.0,152.0,15.0,15.0,20.0,252.0,48.0,37.0,6.69,6.01,16.18,13.0,4.0,17.0,488.0,337.0,337.0,5.0,5.66,5.74,5.74,28.81,28.81,26.85,37.82,3.46,2.07,5.96,1.3,13.07,26.14,3.41,3.46,3.41,41.0,11.0,9.0,61.0,6.0,1.0,1.0,2.0,0.0,7.0,36.0,35.0,46.0,5.0,10.0,143.0,48.0,42.0,10.0,36.0,10.0,6.0,0.76,1.21,1.49,2.0,2.0,2.0,61.0,52.0,52.0,8.0,0.48,0.27,0.27,3.67,3.67,3.65
TBL,2023,TBL,TBL,Team Level,other,63,0.44,0.49,0.47,8439.0,115.38,29.44,8.52,19.47,3.83,62.07,35.68,25.7,29.44,25.7,108.0,51.0,55.0,214.0,31.0,14.0,3.0,16.0,0.0,51.0,47.0,77.0,128.0,7.0,17.0,97.0,26.0,19.0,15.0,72.0,43.0,44.0,3.09,5.48,20.87,2.0,9.0,20.0,214.0,159.0,159.0,2.0,2.53,5.32,5.32,26.65,26.65,24.5,130.08,36.86,9.45,22.54,4.44,64.29,41.42,34.84,36.86,34.84,123.0,56.0,46.0,225.0,32.0,12.0,2.0,19.0,3.0,57.0,56.0,91.0,147.0,5.0,13.0,94.0,18.0,20.0,12.0,80.0,42.0,57.0,3.1,5.29,28.47,2.0,7.0,23.0,225.0,179.0,179.0,5.0,2.72,4.06,4.06,35.52,35.52,33.93
TBL,2023,TBL,TBL,Team Level,all,63,0.51,0.51,0.51,228977.0,2001.38,208.85,139.31,469.64,67.04,1082.03,783.13,197.49,209.27,197.93,1858.0,892.0,1097.0,3847.0,211.0,201.0,30.0,374.0,5.0,968.0,991.0,1647.0,2539.0,229.0,537.0,1752.0,1447.0,401.0,473.0,1985.0,530.0,235.0,58.12,66.79,83.95,65.0,78.0,68.0,3860.04,2750.0,2756.74,225.0,31.34,44.51,44.54,195.65,196.0,190.18,1895.83,204.58,130.16,450.23,64.19,1015.93,737.91,193.85,205.38,194.53,1863.0,740.0,1029.0,3632.0,213.0,216.0,21.0,335.0,11.0,870.0,958.0,1650.0,2390.0,237.0,547.0,1670.0,1485.0,470.0,414.0,1867.0,498.0,238.0,54.77,61.98,87.82,80.0,73.0,60.0,3637.61,2603.0,2611.96,218.0,28.95,46.87,46.87,186.66,187.14,181.39
TBL,2023,TBL,TBL,Team Level,5on5,63,0.5,0.51,0.51,186982.0,1521.69,129.54,100.81,375.76,50.86,826.56,615.47,124.83,129.96,125.27,1400.0,699.0,919.0,3018.0,125.0,144.0,19.0,292.0,5.0,752.0,781.0,1275.0,1974.0,207.0,476.0,1365.0,1364.0,334.0,404.0,1595.0,380.0,124.0,46.5,48.34,34.7,57.0,53.0,15.0,3031.04,2099.0,2105.74,205.0,20.95,28.84,28.88,121.61,121.97,119.87,1490.55,129.85,97.05,372.89,50.9,798.67,597.66,124.23,130.66,124.91,1469.0,578.0,847.0,2894.0,147.0,177.0,17.0,273.0,4.0,678.0,768.0,1322.0,1900.0,220.0,507.0,1272.0,1413.0,395.0,349.0,1539.0,371.0,137.0,44.1,46.12,39.62,69.0,60.0,18.0,2899.61,2047.0,2055.96,189.0,20.19,36.49,36.62,113.42,113.9,111.97
TBL,2023,TBL,TBL,Team Level,4on5,63,0.17,0.16,0.2,16970.0,59.08,6.8,3.44,9.12,2.16,19.18,38.3,6.54,6.8,6.54,59.0,20.0,6.0,85.0,3.0,6.0,0.0,4.0,0.0,17.0,49.0,56.0,76.0,4.0,16.0,135.0,46.0,39.0,18.0,48.0,22.0,9.0,1.48,2.87,2.45,1.0,2.0,0.0,85.0,79.0,79.0,15.0,0.79,1.39,1.39,6.2,6.2,6.11,234.54,33.92,21.51,49.14,7.62,140.0,70.83,30.87,33.92,30.87,230.0,93.0,128.0,451.0,31.0,26.0,2.0,43.0,4.0,126.0,93.0,199.0,292.0,8.0,16.0,155.0,21.0,10.0,33.0,211.0,73.0,39.0,6.46,9.01,18.44,9.0,5.0,17.0,451.0,323.0,323.0,4.0,5.55,6.04,5.91,33.55,33.55,31.34
TBL,2023,TBL,TBL,Team Level,5on4,63,0.92,0.9,0.88,16586.0,305.23,43.08,26.54,65.29,10.19,174.23,93.68,40.43,43.08,40.43,291.0,122.0,117.0,530.0,52.0,37.0,8.0,62.0,0.0,148.0,114.0,239.0,361.0,11.0,28.0,155.0,11.0,9.0,36.0,270.0,85.0,58.0,7.05,10.09,25.93,5.0,14.0,33.0,530.0,413.0,413.0,3.0,7.08,8.96,8.96,41.19,41.19,39.7,40.65,3.96,2.15,5.67,1.23,12.98,28.01,3.91,3.96,3.91,41.0,13.0,8.0,62.0,3.0,1.0,0.0,0.0,0.0,9.0,41.0,38.0,51.0,4.0,11.0,149.0,33.0,45.0,20.0,37.0,12.0,5.0,1.1,1.56,1.29,0.0,1.0,2.0,62.0,54.0,54.0,20.0,0.49,0.28,0.28,4.17,4.17,4.15
ARI,2023,ARI,ARI,Team Level,other,61,0.47,0.46,0.46,9250.0,116.11,25.44,8.08,21.27,3.72,60.47,38.02,23.49,25.44,23.49,104.0,53.0,52.0,209.0,12.0,12.0,2.0,9.0,0.0,70.0,54.0,92.0,145.0,8.0,16.0,78.0,45.0,22.0,15.0,87.0,32.0,38.0,2.99,4.05,18.39,3.0,0.0,9.0,209.0,157.0,157.0,4.0,2.29,3.93,3.93,23.81,23.81,22.49,134.23,29.05,9.55,24.58,4.74,73.98,42.1,26.36,29.05,26.36,125.0,59.0,59.0,243.0,28.0,9.0,1.0,24.0,0.0,71.0,52.0,97.0,156.0,6.0,12.0,114.0,27.0,11.0,10.0,96.0,46.0,42.0,3.83,5.61,19.6,6.0,6.0,16.0,243.0,184.0,184.0,7.0,2.88,2.43,2.27,29.66,29.66,27.4
ARI,2023,ARI,ARI,Team Level,all,61,0.48,0.48,0.47,221664.0,1807.46,186.09,126.01,428.48,60.57,980.98,701.87,178.53,186.08,178.55,1658.0,826.0,967.0,3451.0,178.0,192.0,21.0,332.0,7.0,897.0,878.0,1480.0,2306.0,256.0,583.0,1583.0,1344.0,332.0,504.0,1836.0,428.0,220.0,52.54,53.78,79.77,57.0,55.0,66.0,3432.48,2484.0,2472.84,256.0,28.07,37.12,37.21,176.95,176.98,172.83,2023.34,200.64,139.46,486.12,69.49,1099.87,796.42,188.13,201.96,189.43,1944.0,848.0,994.0,3786.0,201.0,189.0,22.0,423.0,7.0,952.0,1020.0,1743.0,2591.0,257.0,582.0,1885.0,1445.0,380.0,457.0,2057.0,513.0,222.0,59.08,63.04,78.53,78.0,61.0,62.0,3824.55,2792.0,2821.97,218.0,31.6,38.09,38.09,194.15,195.13,186.97
ARI,2023,ARI,ARI,Team Level,5on5,61,0.49,0.49,0.48,176090.0,1400.67,120.55,93.76,349.23,47.5,759.58,558.38,116.41,120.54,116.43,1274.0,655.0,796.0,2725.0,121.0,156.0,17.0,281.0,4.0,681.0,686.0,1153.0,1808.0,227.0,520.0,1218.0,1216.0,273.0,435.0,1472.0,324.0,133.0,42.02,41.0,37.52,51.0,44.0,26.0,2706.48,1929.0,1917.84,235.0,19.49,28.92,29.46,110.58,110.6,108.78,1501.75,125.32,96.96,380.26,51.26,807.56,611.64,120.4,126.64,121.7,1433.0,640.0,779.0,2852.0,128.0,141.0,17.0,322.0,6.0,688.0,788.0,1305.0,1945.0,235.0,530.0,1408.0,1336.0,328.0,386.0,1582.0,370.0,121.0,44.95,45.48,34.9,61.0,43.0,24.0,2890.55,2073.0,2102.97,197.0,20.15,28.01,28.08,117.39,118.37,116.47
ARI,2023,ARI,ARI,Team Level,4on5,61,0.07,0.1,0.1,18306.0,38.46,3.33,2.21,6.25,1.39,13.62,27.22,3.32,3.33,3.32,42.0,12.0,11.0,65.0,4.0,0.0,0.0,2.0,0.0,11.0,37.0,38.0,50.0,10.0,22.0,148.0,61.0,29.0,13.0,41.0,10.0,3.0,1.02,1.5,0.81,0.0,2.0,2.0,65.0,54.0,54.0,12.0,0.5,0.0,0.0,3.82,3.82,3.82,338.49,42.55,30.64,74.01,11.92,201.89,106.99,37.67,42.55,37.67,331.0,137.0,150.0,618.0,39.0,37.0,4.0,74.0,1.0,186.0,131.0,292.0,429.0,10.0,25.0,199.0,23.0,8.0,45.0,327.0,84.0,57.0,8.75,10.32,23.48,8.0,10.0,21.0,618.0,468.0,468.0,2.0,8.04,7.55,7.64,42.94,42.94,38.94
ARI,2023,ARI,ARI,Team Level,5on4,61,0.91,0.86,0.84,18018.0,252.21,36.77,21.95,51.74,7.97,147.3,78.26,35.3,36.77,35.3,238.0,106.0,108.0,452.0,41.0,24.0,2.0,40.0,3.0,135.0,101.0,197.0,303.0,11.0,25.0,139.0,22.0,8.0,41.0,236.0,62.0,46.0,6.51,7.23,23.04,3.0,9.0,29.0,452.0,344.0,344.0,5.0,5.8,4.28,3.83,38.75,38.75,37.73,48.87,3.72,2.32,7.26,1.56,16.43,35.69,3.69,3.72,3.69,55.0,12.0,6.0,73.0,6.0,2.0,0.0,3.0,0.0,7.0,49.0,49.0,61.0,6.0,15.0,164.0,59.0,33.0,16.0,52.0,13.0,2.0,1.54,1.64,0.54,3.0,2.0,1.0,73.0,67.0,67.0,12.0,0.53,0.09,0.09,4.16,4.16,4.14
TOR,2023,TOR,TOR,Team Level,other,60,0.6,0.55,0.58,7398.0,167.12,35.68,12.51,30.54,5.63,86.77,51.88,28.12,35.68,28.12,151.0,72.0,54.0,277.0,33.0,23.0,1.0,25.0,3.0,83.0,56.0,118.0,190.0,5.0,10.0,123.0,23.0,17.0,22.0,119.0,49.0,55.0,4.78,6.3,24.59,11.0,6.0,16.0,277.0,223.0,223.0,7.0,3.71,7.99,7.99,31.39,31.39,26.6,119.1,23.4,8.1,22.37,3.93,60.33,43.88,21.77,23.4,21.77,120.0,42.0,61.0,223.0,25.0,9.0,1.0,27.0,0.0,52.0,49.0,95.0,137.0,7.0,14.0,97.0,34.0,28.0,25.0,90.0,42.0,30.0,3.81,4.93,14.66,6.0,6.0,13.0,223.0,162.0,162.0,12.0,2.28,3.44,3.44,22.24,22.24,21.3
TOR,2023,TOR,TOR,Team Level,all,60,0.53,0.51,0.51,219863.0,2073.44,217.1,142.63,495.63,69.38,1105.18,787.09,200.49,218.2,201.59,1976.0,841.0,1067.0,3884.0,219.0,197.0,17.0,392.0,10.0,987.0,1012.0,1757.0,2598.0,209.0,472.0,1827.0,1544.0,473.0,564.0,2015.0,547.0,255.0,57.66,68.48,90.96,80.0,76.0,63.0,3927.14,2817.0,2841.92,313.0,32.2,45.66,45.66,203.64,204.94,195.04,1938.95,192.02,132.06,471.38,66.24,1045.75,759.55,183.65,191.51,183.19,1794.0,873.0,1088.0,3755.0,189.0,199.0,22.0,360.0,7.0,975.0,937.0,1605.0,2478.0,212.0,488.0,1558.0,1790.0,461.0,531.0,1968.0,472.0,227.0,55.62,58.54,77.86,67.0,63.0,59.0,3722.13,2667.0,2654.87,312.0,29.37,43.44,43.55,177.83,177.33,173.33
TOR,2023,TOR,TOR,Team Level,5on5,60,0.51,0.5,0.51,182258.0,1589.88,135.58,103.49,400.81,53.47,851.48,624.16,129.67,136.69,130.76,1518.0,651.0,876.0,3045.0,138.0,144.0,12.0,322.0,7.0,751.0,807.0,1380.0,2031.0,186.0,423.0,1415.0,1453.0,402.0,486.0,1618.0,412.0,139.0,44.99,51.91,38.68,58.0,56.0,24.0,3088.14,2169.0,2193.92,280.0,21.61,28.15,28.15,129.05,130.35,127.24,1516.89,131.95,99.91,385.63,52.21,818.66,601.64,126.57,131.43,126.13,1378.0,712.0,901.0,2991.0,124.0,161.0,19.0,272.0,4.0,779.0,750.0,1254.0,1966.0,185.0,429.0,1194.0,1679.0,372.0,460.0,1586.0,356.0,148.0,44.59,45.05,42.31,57.0,45.0,22.0,2958.13,2090.0,2077.87,285.0,20.8,33.85,34.08,118.66,118.16,116.11
TOR,2023,TOR,TOR,Team Level,4on5,60,0.13,0.14,0.16,15438.0,48.75,4.75,2.58,7.66,1.67,16.16,33.19,4.61,4.75,4.61,52.0,14.0,7.0,73.0,5.0,2.0,0.0,3.0,0.0,11.0,45.0,47.0,61.0,9.0,21.0,130.0,52.0,40.0,26.0,49.0,11.0,6.0,1.27,1.52,1.97,3.0,1.0,1.0,73.0,66.0,66.0,24.0,0.6,0.54,0.54,4.81,4.81,4.66,251.75,31.78,21.32,55.6,8.46,150.52,80.33,30.48,31.78,30.48,247.0,101.0,117.0,465.0,34.0,24.0,2.0,55.0,3.0,135.0,97.0,213.0,314.0,12.0,27.0,148.0,25.0,22.0,30.0,245.0,63.0,40.0,5.97,7.2,18.6,3.0,9.0,22.0,465.0,348.0,348.0,3.0,5.66,5.06,4.94,32.49,32.49,31.52
TOR,2023,TOR,TOR,Team Level,5on4,60,0.89,0.87,0.84,14769.0,267.68,41.09,24.05,56.62,8.6,150.77,77.87,38.09,41.09,38.09,255.0,104.0,130.0,489.0,43.0,28.0,4.0,42.0,0.0,142.0,104.0,212.0,316.0,9.0,18.0,159.0,16.0,14.0,30.0,229.0,75.0,55.0,6.62,8.75,25.72,8.0,13.0,22.0,489.0,359.0,359.0,2.0,6.28,8.98,8.98,38.39,38.39,36.54,51.22,4.9,2.74,7.78,1.64,16.24,33.71,4.82,4.9,4.82,49.0,18.0,9.0,76.0,6.0,5.0,0.0,6.0,0.0,9.0,41.0,43.0,61.0,8.0,18.0,119.0,52.0,39.0,16.0,47.0,11.0,9.0,1.25,1.35,2.29,1.0,3.0,2.0,76.0,67.0,67.0,12.0,0.62,1.09,1.09,4.43,4.43,4.39
STL,2023,STL,STL,Team Level,other,60,0.55,0.55,0.58,7734.0,116.35,29.94,8.03,20.72,4.06,63.33,36.91,26.58,29.94,26.58,103.0,60.0,48.0,211.0,21.0,14.0,2.0,27.0,3.0,58.0,40.0,82.0,142.0,2.0,4.0,93.0,18.0,22.0,17.0,76.0,41.0,46.0,3.23,4.97,21.74,3.0,4.0,14.0,211.0,163.0,163.0,7.0,2.46,6.22,6.22,26.18,26.18,24.1,84.37,24.8,5.68,13.03,2.73,44.65,25.1,23.52,24.8,23.52,73.0,43.0,54.0,170.0,20.0,5.0,1.0,10.0,1.0,50.0,30.0,53.0,96.0,0.0,0.0,79.0,19.0,20.0,10.0,53.0,27.0,36.0,2.28,3.75,18.77,2.0,1.0,17.0,170.0,116.0,116.0,7.0,1.74,1.15,1.15,25.41,25.41,24.26
STL,2023,STL,STL,Team Level,all,60,0.47,0.47,0.47,217708.0,1790.0,175.72,119.92,423.25,59.3,969.97,711.83,166.64,176.03,166.91,1731.0,729.0,869.0,3329.0,172.0,159.0,16.0,361.0,9.0,800.0,959.0,1559.0,2288.0,182.0,392.0,1620.0,1190.0,536.0,445.0,1824.0,447.0,189.0,52.01,56.11,67.6,60.0,60.0,52.0,3318.81,2460.0,2461.6,255.0,27.04,36.45,36.48,166.28,166.63,161.73,2030.6,200.79,139.49,488.59,69.22,1096.81,796.1,191.4,200.9,191.54,1918.0,873.0,980.0,3771.0,185.0,212.0,19.0,436.0,9.0,957.0,992.0,1733.0,2606.0,206.0,449.0,1692.0,1093.0,577.0,427.0,2037.0,533.0,221.0,56.66,66.95,77.18,61.0,69.0,55.0,3789.28,2791.0,2801.21,209.0,31.12,42.51,42.51,189.41,189.87,184.34
STL,2023,STL,STL,Team Level,5on5,60,0.44,0.45,0.45,176171.0,1346.54,108.62,84.66,335.15,44.51,725.44,551.61,104.93,108.93,105.19,1317.0,533.0,673.0,2523.0,108.0,118.0,9.0,272.0,5.0,590.0,757.0,1209.0,1742.0,166.0,360.0,1210.0,1132.0,446.0,379.0,1427.0,326.0,97.0,39.51,41.35,27.76,50.0,44.0,14.0,2512.81,1850.0,1851.6,230.0,17.52,23.71,23.74,102.4,102.75,101.14,1622.54,139.25,105.35,407.37,55.67,877.76,655.6,133.53,139.35,133.67,1552.0,689.0,823.0,3064.0,128.0,171.0,13.0,373.0,8.0,750.0,811.0,1424.0,2113.0,188.0,415.0,1331.0,1003.0,477.0,372.0,1678.0,426.0,137.0,47.23,53.24,38.78,57.0,57.0,14.0,3082.27,2241.0,2251.21,186.0,21.92,34.17,34.17,127.01,127.46,125.02
STL,2023,STL,STL,Team Level,4on5,60,0.17,0.14,0.16,15625.0,56.01,6.46,2.85,8.15,1.68,17.23,36.63,6.36,6.46,6.36,53.0,20.0,4.0,77.0,11.0,3.0,0.0,6.0,0.0,11.0,42.0,42.0,62.0,4.0,8.0,134.0,29.0,51.0,19.0,44.0,20.0,9.0,1.31,2.56,2.59,3.0,4.0,4.0,77.0,73.0,73.0,17.0,0.66,0.61,0.61,6.49,6.49,6.46,274.3,30.81,26.01,60.92,9.29,159.74,84.23,28.55,30.81,28.55,245.0,126.0,97.0,468.0,32.0,33.0,4.0,51.0,0.0,149.0,106.0,213.0,339.0,6.0,12.0,152.0,14.0,13.0,31.0,268.0,65.0,38.0,6.07,8.01,16.73,2.0,10.0,20.0,468.0,371.0,371.0,4.0,6.88,6.28,6.28,31.42,31.42,29.51
